Country,state,city,region,region_alt,region_alt_2,region_alt_atlantia,am
SV,San Miguel,El Colorado,Oriental,,,,
UY,Cerro Largo,Paso Pereira,Norte,,,,
BR,Amazonas,Manaus,Norte,,,,AM de Manaus
BR,Paraná,São José dos Pinhais,Sul,,,,AM de Curitiba
CL,Valparaíso,Los Andes,Central,,,,
BR,Minas Gerais,Sacramento,Sudeste,,,,AM de Rest of Minas
BR,Bahia,Porto Seguro,Nordeste,,,,AM de Rest of Bahia
BR,Santa Catarina,Itajaí,Sul,,,,AM de Rest of Santa Catarina
AR,Catamarca,Belén,Noroeste,,,,
BR,Paraná,Cruzeiro do Oeste,Sul,,,,AM de Rest of Parana
BR,Paraná,Toledo,Sul,,,,AM de Rest of Parana
BR,Rio de Janeiro,São Fidélis,Sudeste,,,,AM de Rest of Rio
CO,Antioquia,San Rafael,Central,Antioquia / Eje Cafetero,,Centro,
CL,Valparaíso,Quintero,Central,Centro,,,AM de Valparaíso
CO,La Guajira,Hatonuevo,Atlantic,Costa Atlantica,,Norte,
BR,Bahia,Santaluz,Nordeste,,,,AM de Rest of Bahia
UY,Montevideo,Peñarol,Metropolitana,,,,
BR,Pará,Juruti,Norte,,,,
AR,Formosa,Espinillo,Noreste,,,,
AR,Chaco,Margarita Belén,Noreste,,,,
NI,Managua,Aduana,Region I,,,,
MX,Guerrero,Tixtla de Guerrero,Southwest,Area 4,Sur,Occidente Pacífico,
BR,Bahia,Serra Dourada,Nordeste,,,,AM de Rest of Bahia
BR,Maranhão,Santa Luzia,Nordeste,,,,
CL,Biobío,Laja,Southern,Sur,,,
BR,Santa Catarina,Balneário Gaivota,Sul,,,,AM de Rest of Santa Catarina
BR,Ceará,Camocim,Nordeste,,,,AM de Rest of Ceara
BR,Bahia,Ubatã,Nordeste,,,,AM de Rest of Bahia
CO,Córdoba,Planeta Rica,Atlantic,Costa Atlantica,,Norte,
SV,La Libertad,Ciudad de Nueva San Salvador,Central,,,,
SV,San Salvador,Montserrat,Central,,,,
GT,Quetzaltenango,Cantel,Region VI- Suroccidental,,,,
CO,Santander,Aguada,Oriental,Oriente,,,AM de Bucaramanga
BR,Rio Grande do Norte,Bom Jesus,Nordeste,,,,
ES,Valencia,,Comunidad Valenciana,,,,
AR,Resto de la Provincia de Buenos Aires,Brandsen,Provincia de Buenos Aires,,,,
GT,Sololá,Nueva Santa Catarina Ixtahuacan,Region VI- Suroccidental,,,,
BR,Espírito Santo,Atilio Vivacqua,Sudeste,,,,AM de Rest of Espirito Santo
CO,Atlántico,Ponedera,Atlantic,Costa Atlantica,,Norte,
PY,Central,Limpio,Oriental,,,,
SV,La Libertad,Caserío Lima,Central,,,,
BR,Bahia,Jaguarari,Nordeste,,,,AM de Rest of Bahia
BR,Rio de Janeiro,Duas Barras,Sudeste,,,,AM de Rest of Rio
MX,Veracruz de Ignacio de la Llave,Coacoatzintla,East,Area 6,,,
EC,Pichincha,Mejía,Sierra,Pichincha,,Guayas,
MX,Durango,Lerdo,Northwest,Area 2,Norte,Norte,
CL,Metropolitana de Santiago,Vitacura,Metropolitana de Santiago,,,,AM de Santiago
NI,León,Tamarindo,Region II,,,,
SV,San Salvador,Santa Lucía,Central,,,,
MX,Guanajuato,Comonfort,North-Central,Area 3,Occidente,Sureste,
BR,Santa Catarina,Maracajá,Sul,,,,AM de Rest of Santa Catarina
AR,San Juan,Villa Alberastain,Cuyo,,,,
BR,Minas Gerais,Patrocínio do Muriaé,Sudeste,,,,AM de Rest of Minas
BR,São Paulo,Jaci,Sudeste,,,,AM de Rest of SP
BR,Bahia,Caém,Nordeste,,,,AM de Rest of Bahia
BR,Sergipe,Japaratuba,Nordeste,,,,
CL,Los Lagos,Puerto Octay,Southern,,,,
BR,Santa Catarina,Tangará,Sul,,,,AM de Rest of Santa Catarina
CO,Chocó,Istmina,Pacific,Antioquia / Eje Cafetero,,Centro,
CR,San José,Cristo Rey,San Jose,,,,
VE,Mérida,Municipio Libertador,Los Andes,,,,AM de Mérida
BR,São Paulo,General Salgado,Sudeste,,,,AM de Rest of SP
ES,Lugo,,Galicia,Noroeste (North West),,,
EC,Manabí,Jama,Costa/Cost,Costa,,Costa,
BR,Ceará,Aurora,Nordeste,,,,AM de Rest of Ceara
SV,Santa Ana,Caserío Casitas,Occidental,,,,
BR,Piauí,São Miguel do Tapuio,Nordeste,,,,
SV,Santa Ana,El Coco,Occidental,,,,
NI,Granada,La Calzada,Region II,,,,
AR,Corrientes,Saladas,Noreste,,,,
SV,Morazán,San Antonio,Oriental,,,,
UY,Canelones,Estación Olmos,Metropolitana,,,,
BR,Piauí,Cristalândia do Piauí,Nordeste,,,,
MX,Chiapas,Juárez,Southwest,Area 6,,,
BR,Paraíba,Bananeiras,Nordeste,,,,
BR,Pará,São Domingos do Capim,Norte,,,,
CO,Santander,Suaita,Oriental,Oriente,,,
CO,Santander,Simacota,Oriental,Oriente,,,
BR,Bahia,Mansidão,Nordeste,,,,AM de Rest of Bahia
MX,Yucatán,Sucilá,Southeast,Area 6,,,
EC,Guayas,Playas,Costa/Cost,,,,
BR,Rio Grande do Norte,Rio do Fogo,Nordeste,,,,
CR,Puntarenas,Aguas Claras,Other,,,,
NI,Jinotega,San José de Bocay,Region IV,,,,
CO,Cundinamarca,Yacopí,Central,Centro,,Andes,
CO,Huila,Pital,Central,Sur Occidente,,Sur,
PE,Lima,Quilmaná,Lima and Callao,,,,
BR,Paraná,Quatiguá,Sul,,,,AM de Rest of Parana
BR,Rio Grande do Sul,Capela de Santana,Sul,,,,AM de Porto Alegre
PY,San Pedro,Villa del Rosario,Oriental,,,,
CO,Chocó,Unión Panamericana,Pacific,Antioquia / Eje Cafetero,,Centro,
NI,Matagalpa,Dario,Region III,,,,
BR,Pernambuco,Sairé,Nordeste,,,,AM de Rest of Pernambuco
UY,San José,,Metropolitana,,,,
CL,La Araucanía,Galvarino,Southern,Sur,,,
MX,Puebla,Tehuitzingo,East,Area 4,Sur,Occidente Pacífico,
CO,Cauca,Jambaló,Pacific,Sur Occidente,,Sur,
BR,Paraíba,Pocinhos,Nordeste,,,,
MX,Oaxaca,Santiago Nuyoó,Southwest,Area 6,,,
BR,Paraná,Rio Bom,Sul,,,,AM de Rest of Parana
BR,Piauí,Monte Alegre do Piauí,Nordeste,,,,
MX,Puebla,Tilapa,East,Area 4,Sur,Occidente Pacífico,
GT,Sololá,Concepción,Region VI- Suroccidental,,,,
BR,Roraima,Amajari,Norte,,,,
BR,Rio Grande do Sul,Bom Progresso,Sul,,,,AM de Rest of Rio Grande do Sul
BR,Sergipe,Pedra Mole,Nordeste,,,,
GT,San Marcos,Nuevo Progreso,Region VI- Suroccidental,,,,
MX,Veracruz de Ignacio de la Llave,Paso Del Macho,East,Area 6,,,
PE,Lima,La Molina,Lima and Callao,,,,
BR,São Paulo,Guarani d´Oeste,Sudeste,,,,AM de Rest of SP
SV,Cuscatlán,San Barolomé Perulapía,Central,,,,
AR,Córdoba,San Carlos,Centro,,,,
SV,Santa Ana,San Miguel,Occidental,,,,
BR,Paraná,São Jorge d´Oeste,Sul,,,,AM de Rest of Parana
PR,Carolina,Ceiba,Other,,,,Farado
CR,San José,Hacienda El Rodeo,San Jose,,,,
NI,Granada,Volcan,Region II,,,,
EC,Manabí,Olmedo,Costa/Cost,,,,
AR,La Pampa,Toay,Patagonia,,,,Gran Santa Rosa
GT,El Progreso,Sansare,Region III- Nororiental,,,,
SV,San Miguel,La Esperanza,Oriental,,,,
BR,Piauí,Bonfim do Piauí,Nordeste,,,,
MX,Oaxaca,San Sebastián Teitipac,Southwest,Area 6,,,
MX,Veracruz de Ignacio de la Llave,Manlio Fabio Altamirano,East,Area 6,,,
MX,Hidalgo,Xochiatipan,East,Area 4,Sur,Occidente Pacífico,
BR,Rio Grande do Sul,Cerro Grande,Sul,,,,AM de Rest of Rio Grande do Sul
UY,Durazno,Carlos Reyles,Centro-sur,,,,
AR,Córdoba,San Francisco del Chañar,Centro,,,,
NI,Rivas,Escamequita,Region II,,,,
SV,Morazán,Cantón del Norte,Oriental,,,,
MX,Chihuahua,Guazapares,Northwest,Area 2,Norte,Norte,
CO,Santander,Guapotá,Oriental,Oriente,,,
NI,Madriz,San Juan del Río Coco,Region III,,,,
SV,Usulután,Azacualpía de Joco,Oriental,,,,
CR,San José,Bijagual,San Jose,,,,
CR,Limón,Quebrada Cuba,Other,,,,
SV,Cabañas,Caleras,Paracentral,,,,
CR,San José,Jaris,San Jose,,,,
UY,Río Negro,Paso de los Mellizos,Litoral,,,,
NI,Managua,San Francisco,Region I,,,,
SV,San Salvador,Chaltipa,Central,,,,
SV,San Salvador,La Flor,Central,,,,
CR,Cartago,Las Mesas,Cartago,,,,
CR,Alajuela,San Rafael de Poas,Alajuela,,,,
SV,La Libertad,Las Brisas,Central,,,,
NI,León,El Arco,Region II,,,,
SV,San Miguel,Colonia Morataya,Oriental,,,,
GT,Zacapa,,,,,,
SV,La Paz,Buenavista,Paracentral,,,,
SV,La Paz,San José Abajo,Paracentral,,,,
SV,Ahuachapán,El Jocotillo,Occidental,,,,
UY,Tacuarembó,Pueblo de Arriba,Norte,,,,
CR,Alajuela,San José Norte,Alajuela,,,,
PE,Tacna,Tacna,,,,,
UY,Colonia,Nueva Palmira,,,,,
SV,Santa Ana,Caserío El Pino,Occidental,,,,
SV,Cuscatlán,Molino,Central,,,,
CR,Cartago,San Antonio,,,,,
NI,Madriz,La Plazuela,Region III,,,,
UY,Tacuarembó,Poblado Sauce de Batoví,Norte,,,,
BR,São Paulo,Itapevi,Sudeste,,,,
SV,Morazán,Carrillo,Oriental,,,,
UY,Durazno,Los Castros,Centro-sur,,,,
MX,Oaxaca,Concepción Buenavista,Southwest,Area 6,,,
NI,León,Jesús María,Region II,,,,
SV,San Vicente,San Francisco Chamoco,Paracentral,,,,
UY,Lavalleja,Bolívar,Este,,,,
MX,Oaxaca,San Juan Tamazola,Southwest,Area 6,,,
NI,Boaco,Cusirina,Region III,,,,
NI,León,Hato Grande,Region II,,,,
AR,GBA Oeste,,GBA,,,,Gran Mendoza
DO,Bahoruco,,,,,,
SV,La Paz,Veracruz,Paracentral,,,,
CO,Cauca,Buenos Aires,,Sur Occidente,,Sur,
CR,San José,Quitirriel,San Jose,,,,
NI,Matagalpa,San Nicolás ,Region III,,,,
VE,Zulia,San Francisco,,,,,AM de Maracaibo
SV,Sonsonate,Ojo de Agua,Occidental,,,,
GT,Baja Verapaz,Rabinal,,,,,
EC,Napo,,,,,,
SV,Santa Ana,San Antonio La Junta,Occidental,,,,
UY,Tacuarembó,Zambullón,Norte,,,,
SV,San Vicente,Canoas,Paracentral,,,,
SV,La Libertad,Moncagua,Central,,,,
CR,Guanacaste,San Isidro,Other,,,,
SV,Usulután,Salinas de Sisiguayo,Oriental,,,,
PA,Los Santos,Las Tablas,,,,,
PE,Piura,Bernal,,,,,
SV,La Union ,Gueripe,Oriental,,,,
EC,Cañar,Azogues,,,,,
CR,Limón,Talamanca,,,,,
CR,Guanacaste,Quesera,Other,,,,
SV,Morazán,Muerto,Oriental,,,,
UY,Tacuarembó,Poblado de los Morales,Norte,,,,
PA,Los Santos,Pedasí,,,,,
CR,Puntarenas,Golfito,,,,,
UY,Durazno,Los Agregados,Centro-sur,,,,
CO,La Guajira,Ríohacha,,Antioquia / Eje Cafetero,,Centro,
NI,Chinandega,El Carmen,Region III,,,,
NI,Matagalpa,Tierras Blancas,Region III,,,,
NI,Madriz,San Antonio,Region III,,,,
AR,Resto de la Provincia de Buenos Aires,San Miguel del Monte,Provincia de Buenos Aires,,,,AMBA
SV,Ahuachapán,Chayal,Occidental,,,,
CL,Biobío,Arauco,,Sur,,,
CR,Limón,Pascua,Other,,,,
CR,Guanacaste,Vueltas,Other,,,,
BR,Distrito Federal,Brasilia,Centro-Oeste,,,,AM de Brasilia
ES,Madrid,,Comunidad de Madrid,A.M Madrid,,,
BR,São Paulo,Diadema,Sudeste,,,,AM de São Paulo
BR,São Paulo,Praia Grande,Sudeste,,,,AM de Rest of SP
BR,Pernambuco,Jaboatão dos Guararapes,Nordeste,,,,AM de Recife
AR,Córdoba,Villa del Rosario,Centro,,,,
EC,Santa Elena,Santa Elena,Costa/Cost,Costa,,Costa,
BR,Paraíba,Umbuzeiro,Nordeste,,,,
AR,San Juan,Chimbas,Cuyo,,,,Gran San Juan
VE,Carabobo,Diego Ibarra,Central,,,,AM de Valencia
BR,Pernambuco,Paudalho,Nordeste,,,,AM de Rest of Pernambuco
AR,Santa Cruz,Río Gallegos,Patagonia,,,,
EC,El Oro,Machala,Costa/Cost,,,,
CL,Magallanes y Antártica Chilena,Natales,Austral Patagonia,,,,
BR,São Paulo,Pirajuí,Sudeste,,,,AM de Rest of SP
DO,Sánchez Ramírez,,Cibao Sur,,,,
AR,San Juan,,Cuyo,,,,
BR,São Paulo,Moji-Mirim,Sudeste,,,,AM de Rest of SP
MX,Hidalgo,Mixquiahuala de Juarez,East,Area 4,Sur,Occidente Pacífico,
AR,Misiones,Oberá,Noreste,,,,
BR,Minas Gerais,Delfim Moreira,Sudeste,,,,AM de Rest of Minas
BR,Mato Grosso do Sul,Maracaju,Centro-Oeste,,,,AM de Rest of Mato Grosso Sul
BR,Amapá,Oiapoque,Norte,,,,
CO,Sucre,Buenavista,Atlantic,Costa Atlantica,,Norte,
BR,Santa Catarina,Jaraguá do Sul,Sul,,,,AM de Rest of Santa Catarina
GT,Sololá,San Juan La Laguna,Region VI- Suroccidental,,,,
BR,Tocantins,Araguaína,Norte,,,,
SV,Chalatenango,La Laguna,Central,,,,
GT,Santa Rosa,Taxisco,Region IV- Suroriental,,,,
BR,Minas Gerais,Bicas,Sudeste,,,,AM de Rest of Minas
GT,Alta Verapaz,San Pedro Carchá,Region II- Norte,,,,
BR,Piauí,Barro Duro,Nordeste,,,,
BR,Amazonas,Careiro,Norte,,,,
MX,Baja California Sur,Loreto,Northwest,Area 1,Centro,Central Bajio,
ES,Almería,,Andalucía,,,,
BR,Minas Gerais,Campos Gerais,Sudeste,,,,AM de Rest of Minas
MX,Tabasco,Jalapa,Southeast,Area 6,,,
BR,Paraná,Jaguariaíva,Sul,,,,AM de Rest of Parana
SV,San Salvador,Cantón La Palma,Central,,,,
BR,São Paulo,,Sudeste,,,,
EC,Manabí,Jaramijo,Costa/Cost,,,,
CR,Cartago,El Guarco,Cartago,,,,
UY,Tacuarembó,Cañas,Norte,,,,
BR,Goiás,Itaguari,Centro-Oeste,,,,AM de Rest of Goias
EC,Manabí,Tosagua,Costa/Cost,Costa,,Costa,
MX,Puebla,Guadalupe Victoria,East,Area 4,Sur,Occidente Pacífico,
BR,Bahia,Ibititá,Nordeste,,,,AM de Rest of Bahia
MX,Veracruz de Ignacio de la Llave,Ignacio de la Llave,East,Area 6,,,
BR,Rio Grande do Sul,Planalto,Sul,,,,AM de Rest of Rio Grande do Sul
SV,Santa Ana,El Congo,Occidental,,,,
AR,Resto de la Provincia de Buenos Aires,Chascomús,Provincia de Buenos Aires,,,,AMBA
BR,Rio Grande do Sul,Nova Roma do Sul,Sul,,,,AM de Rest of Rio Grande do Sul
CO,Antioquia,Nariño,Central,Antioquia / Eje Cafetero,,Centro,
BR,Maranhão,Porto Franco,Nordeste,,,,
BR,Tocantins,Pequizeiro,Norte,,,,
CO,Valle del Cauca,El Cairo,Pacific,Sur Occidente,,Sur,
BR,Paraná,Serranópolis do Iguaçu,Sul,,,,AM de Rest of Parana
BR,São Paulo,Colômbia,Sudeste,,,,AM de Rest of SP
NI,Chontales,La Libertad,Region III,,,,
PR,Guayama,Barranquitas,Other,,,,
GT,Retalhuleu,San Felipe,Region VI- Suroccidental,,,,
SV,Sonsonate,Cantón Santa Emilia,Occidental,,,,
MX,Guerrero,José Azueta,Southwest,Area 4,Sur,Occidente Pacífico,
MX,Puebla,Tochimilco,East,Area 4,Sur,Occidente Pacífico,
AR,San Luis,Buena Esperanza,Cuyo,,,,
CO,Boyacá,Cómbita,Oriental,Centro,,Andes,AM de Tunja
BR,Goiás,Piracanjuba,Centro-Oeste,,,,AM de Rest of Goias
SV,Santa Ana,Aldea Zapote,Occidental,,,,
BR,Piauí,Novo Oriente do Piauí,Nordeste,,,,
BR,Piauí,São Pedro do Piauí,Nordeste,,,,
PY,Itapúa,Bella Vista,Oriental,,,,
BR,Paraná,Xambrê,Sul,,,,AM de Rest of Parana
CO,Boyacá,Ciénega,Oriental,Centro,,Andes,
NI,Managua,Maderas,Region I,,,,
MX,Nuevo León,Hualahuises,Northeast,Area 2,Norte,Norte,
SV,San Miguel,Cantón El Palón,Oriental,,,,
BR,Minas Gerais,Maravilhas,Sudeste,,,,AM de Rest of Minas
MX,Tlaxcala,San José Teacalco,East,Area 4,Sur,Occidente Pacífico,
CR,Alajuela,Argelia,Alajuela,,,,
NI,Atlántico Norte,Waspán,Region IV,,,,
AR,Resto de la Provincia de Buenos Aires,General Viamonte,Provincia de Buenos Aires,,,,
BR,Minas Gerais,Materlândia,Sudeste,,,,AM de Rest of Minas
CL,Ñuble,San Carlos,Southern,,,,
CR,Limón,El Cairo,Other,,,,
BR,Rio Grande do Norte,Olho-d'Água do Borges,Nordeste,,,,
BR,Goiás,Caturaí,Centro-Oeste,,,,AM de Goiânia
CO,San Andrés y Providencia,Providencia,Atlantic,Costa Atlantica,,Norte,
CR,Guanacaste,Hatillo,Other,,,,
MX,Sonora,Altar,Northwest,Area 1,Centro,Central Bajio,
BR,Goiás,Bonópolis,Centro-Oeste,,,,AM de Rest of Goias
MX,Tamaulipas,Jaumave,Northeast,Area 2,Norte,Norte,
UY,Salto,Rincón de Valentines,Norte,,,,
BR,Santa Catarina,Cordilheira Alta,Sul,,,,AM de Rest of Santa Catarina
UY,Florida,La Cruz,Centro-sur,,,,
BR,Paraná,Campina do Simão,Sul,,,,AM de Rest of Parana
BR,Piauí,Cocal de Telha,Nordeste,,,,
BR,Mato Grosso do Sul,Corguinho,Centro-Oeste,,,,AM de Campo Grande
PY,Guairá,Eugenio A. Garay,Oriental,,,,
CO,Meta,Puerto Concordia,Orinoquia,Oriente,,,
CR,Guanacaste,Maquenco,Other,,,,
BR,Minas Gerais,Divinésia,Sudeste,,,,AM de Rest of Minas
CL,La Araucanía,Galvarino,Southern,,,,
BR,São Paulo,Areias,Sudeste,,,,AM de Rest of SP
EC,Zamora Chinchipe,Chinchipe,Amazonica,,,,
NI,Chontales,Santo Domingo,Region III,,,,
CR,Guanacaste,Tempate,Other,,,,
UY,Colonia,Pueblo Juan L. Lacaze,Litoral,,,,
EC,Cañar,Suscal,Sierra,,,,
BR,Rondônia,Pimenteiras do Oeste,Norte,,,,
BR,Tocantins,Taipas do Tocantins,Norte,,,,
MX,Oaxaca,Santa Lucía del Camino,Southwest,Area 6,,,AM de Oaxaca
NI,Granada,El Rayo,Region II,,,,
SV,Usulután,California,Oriental,,,,
SV,Cuscatlán,El Rodeo,Central,,,,
UY,Salto,Belén,Norte,,,,
BR,Rio Grande do Sul,Nova Candelária,Sul,,,,AM de Rest of Rio Grande do Sul
SV,San Miguel,El Borbollón,Oriental,,,,
MX,Morelos,Tetela del Volcán,South-Central,Area 4,Sur,Occidente Pacífico,
CO,Tolima,Murillo,Central,Centro,,Andes,
SG,Kallang,,Central Region,,,,
PY,Cordillera,Atyrá,Oriental,,,,
SV,La Libertad,Hacienda Melara,Central,,,,
CR,Heredia,El Carbonal,Other,,,,
BR,Paraíba,Quixabá,Nordeste,,,,
CO,Chocó,San José del Palmar,Pacific,Antioquia / Eje Cafetero,,Centro,
CR,Cartago,Páez,Cartago,,,,
SV,Cuscatlán,Milingo,Central,,,,
MX,Oaxaca,Santa María Peñoles,Southwest,Area 6,,,
BR,Paraíba,Santana dos Garrotes,Nordeste,,,,
UY,Rivera,Lunarejo,Norte,,,,
PY,Concepción,San Carlos del Apa,Oriental,,,,
NI,Managua,San Rita,Region I,,,,
CO,Bolívar,Río Viejo,Atlantic,Costa Atlantica,,Norte,
MX,Veracruz de Ignacio de la Llave,Tlapacoyan,East,Area 6,,,AM de Xalapa
SV,Ahuachapán,Guayapa,Occidental,,,,
NI,Managua,El Salto,Region I,,,,
MX,Oaxaca,Santa María Apazco,Southwest,Area 6,,,
NI,Managua,Naranjo,Region I,,,,
SV,La Libertad,San Pedro Las Flores,Central,,,,
VE,Cojedes,San Carlos,,,,,
CR,San José,Sabanillas,San Jose,,,,
SV,Cabañas,San José,Paracentral,,,,
SV,La Paz,El Escobal,Paracentral,,,,
VE,Mérida,Mérida,Los Andes,,,,
SV,Morazán,Guachipilín,Oriental,,,,
CR,Puntarenas,El Pájaro,Other,,,,
CL,Arica y Parinacota,Arica,,Norte,,,
SV,Santa Ana,San José Ingenio,Occidental,,,,
MX,Sonora,San Javier,Northwest,Area 1,Centro,Central Bajio,
NI,Boaco,Cacao de Los Chavarrías,Region III,,,,
SV,Ahuachapán,Caserío El Tigre,Occidental,,,,
MX,Coahuila de Zaragoza,Progreso,Northeast,Area 2,Norte,Norte,
SV,Santa Ana,Finca Los Pinos,Occidental,,,,
SV,Santa Ana,El Paraíso,Occidental,,,,
SV,Santa Ana,Nance Dulce,Occidental,,,,
NI,Chontales,Bulún,Region III,,,,
SV,Sonsonate,Las Salinas de Ayacachapa,Occidental,,,,
SV,La Paz,San Juan Nahuistepeque,Paracentral,,,,
NI,Carazo,Tupitapa,Region II,,,,
CO,Antioquia,Segovia,,Antioquia / Eje Cafetero,,Centro,
MX,Oaxaca,San Juan Tabaá,Southwest,Area 6,,,
MX,Oaxaca,San José Tenango,Southwest,Area 6,,,
SV,San Vicente,Santa Elena,Paracentral,,,,
SV,Cabañas,Campamento Número Uno,Paracentral,,,,
NI,Managua,Telpochoapa,Region I,,,,
SV,La Paz,Hacienda Jalponga,Paracentral,,,,
NI,Nueva Segovia,El Zapotillal,Region III,,,,
CR,San José,Hacienda El Jardín,San Jose,,,,
NI,León,San Cristóbal,Region II,,,,
CR,Cartago,Flor,Cartago,,,,
NI,Granada,La Victoria,Region II,,,,
SV,La Union ,Nueva Concepción Oriente,Oriental,,,,
MX,Oaxaca,San Miguel Yotao,Southwest,Area 6,,,
GT,Guatemala,Villa Canales,,,,,
EC,Loja,Loja,,,,,
CR,Heredia,Hacienda El Porvenir,Other,,,,
NI,Rivas,Cañas Gordas,Region II,,,,
CL,Maule,Chanco,,,,,
CO,Córdoba,Lorica,,Costa Atlantica,,Norte,
CR,Guanacaste,Inocentes,Other,,,,
BR,Santa Catarina,Navegantes,Sul,,,,
PA,Chiriquí,Tolé,,,,,
MX,Puebla,Tepemaxalco,East,Area 4,Sur,Occidente Pacífico,
SV,Morazán,San Juan,Oriental,,,,
SV,La Paz,Los Zacatales,Paracentral,,,,
MX,Jalisco,,West,Area 3,Occidente,Sureste,
NI,Boaco,San José,Region III,,,,
MX,Chihuahua,Delicias,Northwest,Area 2,Norte,Norte,AM de Zacatecas
CL,Biobío,Chiguayante,,Sur,,,AM de Concepción
NI,Madriz,Valle Los Encuentros,Region III,,,,
NI,Granada,Cutirre,Region II,,,,
MX,Jalisco,Autlan de Navarro,West,Area 3,Occidente,Sureste,AM de Guadalajara
CR,Guanacaste,Santa María,Other,,,,
NI,Rivas,Potrerillos,Region II,,,,
CR,Alajuela,Piedades Sur,,,,,
AR,Córdoba,,Centro,,,,AMBA
CO,Cesar,La Paz,,Costa Atlantica,,Norte,AM de Valledupar
CR,San José,Puriscal,,,,,
UY,Cerro Largo,Rincón de Coronel,Norte,,,,
SV,San Miguel,Hacienda Tamera,Oriental,,,,
BR,Paraná,Cambé,Sul,,,,
NI,León,El Paraíso,Region II,,,,
MX,Puebla,San Andres Cholula,East,Area 4,Sur,Occidente Pacífico,AM de Ciudad de México
SV,Cabañas,El Tránsito,Paracentral,,,,
NI,León,El Rodeo,Region II,,,,
NI,León,Guayabalito,Region II,,,,
SV,La Paz,Valladares,Paracentral,,,,
BR,Rio Grande do Norte,Natal,Nordeste,,,,AM de Recife
CR,Guanacaste,Juntas,,,,,
SV,San Miguel,San Antonio de las Moscas,Oriental,,,,
EC,Los Ríos,Baba,,,,,
BR,São Paulo,Águas da Prata,Sudeste,,,,
SV,La Paz,Finca La Cruz,Paracentral,,,,
SV,La Union ,El Pichón,Oriental,,,,
CR,Limón,Dorothea,Other,,,,
SV,Ahuachapán,Guayaltepec,Occidental,,,,
BR,Rio Grande do Norte,Mossoró,Nordeste,,,,
CL,Los Lagos,Dalcahue,Southern,,,,
PY,Asunción ,,Oriental,,,,
BR,Pará,Barcarena,Norte,,,,
AR,Córdoba,Bell Ville,Centro,,,,
AR,Formosa,Pirané,Noreste,,,,
CL,Metropolitana de Santiago,Independencia,Metropolitana de Santiago,,,,AM de Santiago
BR,Rio Grande do Sul,Bento Gonçalves,Sul,,,,AM de Rest of Rio Grande do Sul
EC,Pichincha,Pedro Vicente Maldonado,Sierra,Pichincha,,Guayas,
EC,Pichincha,Rumiñahui,Sierra,,,,
MX,Guerrero,Chilpacingo de los Bravo,Southwest,Area 4,Sur,Occidente Pacífico,
VE,Miranda,Cúa,Capital,,,,
BR,Paraná,Marialva,Sul,,,,AM de Rest of Parana
BR,Goiás,Montividiu do Norte,Centro-Oeste,,,,AM de Rest of Goias
BR,Roraima,Boa Vista,Norte,,,,AM de Boa Vista
BR,São Paulo,Itapira,Sudeste,,,,AM de Rest of SP
BR,Pernambuco,Orocó,Nordeste,,,,AM de Rest of Pernambuco
EC,Chimborazo,Riobamba,Sierra,Sierra,,Sierra,
BR,Tocantins,Augustinópolis,Norte,,,,
BR,Minas Gerais,Francisco Badaró,Sudeste,,,,AM de Rest of Minas
BR,Rondônia,Machadinho d'Oeste,Norte,,,,
BR,Rio Grande do Sul,Xangri-lá,Sul,,,,AM de Rest of Rio Grande do Sul
BR,Santa Catarina,Brusque,Sul,,,,AM de Rest of Santa Catarina
EC,Guayas,Daule,Costa/Cost,Guayas,,Pichincha,
BR,Minas Gerais,Capitão Enéas,Sudeste,,,,AM de Rest of Minas
MX,Estado de México,Chapa de Mota,South-Central,Area 4,Sur,Occidente Pacífico,
BR,Minas Gerais,Monte Alegre de Minas,Sudeste,,,,AM de Rest of Minas
GT,Chiquimula,Chiquimula,Region III- Nororiental,,,,
CR,Alajuela,Palmares,Alajuela,,,,
MX,Sonora,Nogales,Northwest,Area 1,Centro,Central Bajio,
BR,Pará,Nova Timboteua,Norte,,,,
CL,Valparaíso,San Antonio,Central,,,,
BR,Piauí,Conceição do Canindé,Nordeste,,,,
AR,Misiones,Bernardo de Irigoyen,Noreste,,,,
BR,Goiás,Morrinhos,Centro-Oeste,,,,AM de Rest of Goias
BR,São Paulo,Guaraçaí,Sudeste,,,,AM de Rest of SP
MX,Hidalgo,Chilcuautla,East,Area 4,Sur,Occidente Pacífico,
VE,Carabobo,San Joaquín,Central,,,,AM de Valencia
BR,Rio de Janeiro,Itatiaia,Sudeste,,,,AM de Rest of Rio
MX,Hidalgo,Zacualtipan De Angeles,East,Area 4,Sur,Occidente Pacífico,
GT,Huehuetenango,Santa Cruz Barillas,Region VII- Noroccidental,,,,
CR,Limón,9 Millas,Other,,,,
BR,Rio Grande do Sul,Ibarama,Sul,,,,AM de Rest of Rio Grande do Sul
BR,Minas Gerais,São Sebastião do Rio Verde,Sudeste,,,,AM de Rest of Minas
CR,Heredia,San Juan Abajo,Other,,,,
MX,Chiapas,Villaflores,Southwest,Area 6,,,
BR,Pernambuco,Moreilândia,Nordeste,,,,AM de Rest of Pernambuco
SV,Santa Ana,Joya del Maguey,Occidental,,,,
NI,Managua,Chocoyo,Region I,,,,
UY,Montevideo,Pajas Blancas,Metropolitana,,,,
BR,Rio Grande do Sul,Triunfo,Sul,,,,AM de Porto Alegre
